TIME;PV;PE;PD;SCORE
COR;0.67;0.23;0.1;0.57
CAP;0.6;0.24;0.16;0.44
GRE;0.59;0.24;0.17;0.42
FLA;0.45;0.28;0.27;0.18
FLU;0.44;0.29;0.27;0.17
CRI;0.44;0.28;0.28;0.16
BOT;0.43;0.28;0.29;0.14
PAL;0.42;0.28;0.3;0.12
INT;0.39;0.3;0.31;0.08
SAO;0.36;0.29;0.35;0.01
BGT;0.35;0.29;0.36;-0.01
VAS;0.31;0.3;0.39;-0.08
BAH;0.3;0.28;0.42;-0.12
CAM;0.29;0.28;0.43;-0.14
VIT;0.28;0.28;0.44;-0.16
FOR;0.27;0.29;0.44;-0.17
CUI;0.27;0.28;0.45;-0.18
JUV;0.17;0.24;0.59;-0.42
ACG;0.16;0.24;0.6;-0.44
CRU;0.1;0.23;0.67;-0.57
